,url,name,year,en_name,poster_url,rating,country,genre,director,main_actors,lentgh
501,https://www.kinonews.ru/movie_99210/flight,Экипаж,2012,Flight,https://www.kinonews.ru/movie_99210/flight,8.24,['США'],"['драма', 'триллер']",Роберт Земекис,"['Дензел Вашингтон', 'Келли Райлли']",138 мин
502,https://www.kinonews.ru/movie_647/american-psycho,Американский психопат,2000,American Psycho,https://www.kinonews.ru/movie_647/american-psycho,8.24,['США'],"['драма', 'триллер']",Мэри Хэррон,"['Кристиан Бейл', 'Джастин Теру']",101 мин
503,https://www.kinonews.ru/movie_3724/the-guardian,Спасатель,2006,The Guardian,https://www.kinonews.ru/movie_3724/the-guardian,8.24,['США'],"['боевик', 'драма', 'приключения']",Эндрю Дэвис,"['Кевин Костнер', 'Эштон Катчер']",139 мин
504,https://www.kinonews.ru/movie_7660/300,300 спартанцев,2006,300,https://www.kinonews.ru/movie_7660/300,8.23,['США'],"['боевик', 'военный', 'драма', 'исторический', 'кинокомикс']",Зак Снайдер,"['Джерард Батлер', 'Лена Хеди']",117 мин
505,https://www.kinonews.ru/movie_27205/the-mist,Мгла,2007,The Mist,https://www.kinonews.ru/movie_27205/the-mist,8.23,['США'],"['триллер', 'ужасы', 'фантастика']",Фрэнк Дарабонт,"['Марсия Гэй Харден', 'Томас Джейн']",126 мин
506,https://www.kinonews.ru/movie_104620/captain-phillips,Капитан Филлипс,2013,Captain Phillips,https://www.kinonews.ru/movie_104620/captain-phillips,8.23,['США'],"['биографический', 'драма', 'криминал', 'триллер']",Пол Гринграсс,"['Том Хэнкс', 'Кэтрин Кинер']",134 мин
507,https://www.kinonews.ru/movie_10557/asterix-i-obelix-mission-cleopatra,Астерикс и Обеликс: Миссия Клеопатра,2002,Astérix & Obélix: Mission Cléopâtre,https://www.kinonews.ru/movie_10557/asterix-i-obelix-mission-cleopatra,8.23,"['Германия', 'Франция']","['кинокомикс', 'комедия', 'приключения', 'семейный', 'фэнтези']",Ален Шаба,"['Моника Беллуччи', 'Луи Летерье']",107 мин
508,https://www.kinonews.ru/movie_103/dead-man,Мертвец,1995,Dead Man,https://www.kinonews.ru/movie_103/dead-man,8.23,"['Германия', 'США', 'Япония']","['вестерн', 'драма', 'фэнтези']",Джим Джармуш,"['Джонни Депп', 'Гэри Фармер']",121 мин
509,https://www.kinonews.ru/movie_6082/the-fountain,Фонтан,2006,The Fountain,https://www.kinonews.ru/movie_6082/the-fountain,8.23,['США'],"['драма', 'мелодрама', 'фантастика']",Даррен Аронофски,"['Хью Джекман', 'Рэйчел Уайз']",97 мин
510,https://www.kinonews.ru/movie_3201/inside-man,Не пойман - не вор,2006,Inside Man,https://www.kinonews.ru/movie_3201/inside-man,8.23,['США'],"['драма', 'криминал', 'триллер']",Спайк Ли,"['Дензел Вашингтон', 'Уиллем Дефо']",129 мин
511,https://www.kinonews.ru/movie_3757/lost-in-translation,Трудности перевода,2003,Lost in Translation,https://www.kinonews.ru/movie_3757/lost-in-translation,8.23,"['США', 'Япония']","['драма', 'комедия', 'мелодрама']",София Коппола,"['Скарлетт Йоханссон', 'Билл Мюррэй']",102 мин
512,https://www.kinonews.ru/movie_28522/spartacus,Спартак,1960,Spartacus,https://www.kinonews.ru/movie_28522/spartacus,8.23,['США'],"['биографический', 'боевик', 'драма', 'исторический', 'приключения']","Стэнли Кубрик, Энтони Манн","['Ричард Фарнсуорт', 'Кирк Дуглас']",197 мин
513,https://www.kinonews.ru/movie_66175/x-men-first-class,Люди Икс: Первый класс,2011,X-Men: First Class,https://www.kinonews.ru/movie_66175/x-men-first-class,8.22,['США'],"['боевик', 'драма', 'кинокомикс', 'фантастика']",Мэттью Вон,"['Джеймс МакЭвой', 'Майкл Фассбендер']",131 мин
