,url,name,year,en_name,poster_url,rating,world_fees,budget,country,genre,director,main_actors,lentgh
3808,https://www.kinonews.ru/movie_957/strictly-business,Только бизнес,1991,Strictly Business,https://www.kinonews.ru/movie_957/strictly-business,0.0,$7 683 267,0,['США'],"['комедия', 'мелодрама']","Кевин Хукс, Роландо Хадсон","['Томми Дэвидсон', 'Джозеф С. Филлипс']",
3809,https://www.kinonews.ru/movie_2245/a-scanner-darkly,Помутнение,2006,A Scanner Darkly,https://www.kinonews.ru/movie_2245/a-scanner-darkly,7.45,$7 659 918,$8 000 000,['США'],"['детектив', 'драма', 'криминал', 'мультфильм', 'триллер', 'фантастика']",Ричард Линклейтер,"['Киану Ривз', 'Роберт Дауни мл.']",
3810,https://www.kinonews.ru/movie_5774/the-hunting-party,Охота Ханта,2007,The Hunting Party,https://www.kinonews.ru/movie_5774/the-hunting-party,7.11,$7 644 409,$25 000 000,"['США', 'Босния-Герцеговина', 'Хорватия']","['военный', 'драма', 'комедия', 'приключения', 'триллер']",Ричард Шепард,"['Ричард Гир', 'Терренс Ховард']",
3811,https://www.kinonews.ru/movie_36796/riders,Неудержимые,2002,Riders,https://www.kinonews.ru/movie_36796/riders,8.4,$7 622 383,$15 000 000,"['Канада', 'Франция', 'Великобритания']","['боевик', 'криминал', 'триллер']",Жерар Пирес,"['Наташа Хенстридж', 'Стивен Дорфф']",
3812,https://www.kinonews.ru/movie_939/losing-isaiah,Дело Исайи,1995,Losing Isaiah,https://www.kinonews.ru/movie_939/losing-isaiah,0.0,$7 603 766,0,['США'],['драма'],Стивен Джилленхол,"['Джессика Ланж', 'Холли Берри']",
3813,https://www.kinonews.ru/movie_70869/meet-me-in-st-louis,Встреть меня в Сент-Луисе,1944,Meet Me in St. Louis,https://www.kinonews.ru/movie_70869/meet-me-in-st-louis,7.0,$7 566 000,$1 707 561,['США'],"['мелодрама', 'мюзикл', 'семейный']",Винсенте Миннелли,"['Джуди Гарлэнд', 'Чилл Уиллс']",
3814,https://www.kinonews.ru/movie_152/hackers,Хакеры,1995,Hackers,https://www.kinonews.ru/movie_152/hackers,8.2,$7 563 728,$20 000 000,['США'],"['драма', 'криминал', 'триллер']",Иэн Софтли,"['Джонни Ли Миллер', 'Анджелина Джоли']",107 мин
3815,https://www.kinonews.ru/movie_8324/12,12,2007,,https://www.kinonews.ru/movie_8324/12,7.94,$7 537 453,$2 500 000,['Россия'],"['военный', 'детектив', 'драма', 'криминал', 'триллер']",Никита Михалков,"['Сергей Маковецкий', 'Никита Михалков']",153 мин
3816,https://www.kinonews.ru/movie_11909/damage,Ущерб,1992,Damage,https://www.kinonews.ru/movie_11909/damage,8.0,$7 532 911,0,"['Франция', 'Великобритания']","['драма', 'эротика']",Луи Маль,"['Джереми Айронс', 'Жюльет Бинош']",
3817,https://www.kinonews.ru/movie_7734/statskii-sovetnik,Статский советник,2005,,https://www.kinonews.ru/movie_7734/statskii-sovetnik,7.91,$7 522 408,$4 000 000,['Россия'],"['драма', 'криминал']",Филипп Янковский,"['Никита Михалков', 'Олег Меньшиков']",125 мин
3818,https://www.kinonews.ru/movie_35862/club-dread,Клуб страха,2004,Club Dread,https://www.kinonews.ru/movie_35862/club-dread,0.0,$7 507 941,$8 550 000,['США'],"['комедия', 'триллер', 'ужасы']",Джей Чандрашекхар,"['Сэмм Ливайн', 'Билл Пэкстон']",
3819,https://www.kinonews.ru/movie_19577/doa-dead-or-alive,D.O.A.: Живым или мертвым,2006,DOA: Dead or Alive,https://www.kinonews.ru/movie_19577/doa-dead-or-alive,5.78,$7 500 497,$30 000 000,"['США', 'Германия', 'Великобритания']","['боевик', 'приключения']",Кори Юэнь,"['Эрик Робертс', 'Мэттью Мэрсден']",
3820,https://www.kinonews.ru/movie_63262/big-jake,Большой Джейк,1971,Big Jake,https://www.kinonews.ru/movie_63262/big-jake,0.0,$7 500 000,0,['США'],"['боевик', 'вестерн', 'драма', 'криминал']","Джон Уэйн, Джордж Шерман","['Джон Уэйн', 'Ричард Бун']",
3821,https://www.kinonews.ru/movie_1343/agatha,Агата,1979,Agatha,https://www.kinonews.ru/movie_1343/agatha,0.0,$7 500 000,0,['Великобритания'],"['детектив', 'драма']",Майкл Эптид,"['Дастин Хоффман', 'Ванесса Редгрейв']",
3822,https://www.kinonews.ru/movie_17514/the-cowboys,Ковбои,1972,The Cowboys,https://www.kinonews.ru/movie_17514/the-cowboys,7.0,$7 500 000,$6 000 000,['США'],"['вестерн', 'драма', 'комедия', 'приключения']",Марк Райделл,"['Джон Уэйн', 'Роско Ли Браун']",
