,url,description
45,https://www.kinonews.ru/movie_801/the-hobbit,"Дядя Фродо Бэггинса Бильбо отправляется в компании гномов на поиски сокровища, которые охраняет устрашающий дракон. В процессе поисков Бильбо совершает множество подвигов и в конце концов сталкивается с Горлумом, и завладевает таинственным кольцом, от которого зависит вся дальнейшая судьба Средиземья."
46,https://www.kinonews.ru/movie_2981/harry-potter-and-the-sorcerers-stone,"Гарри Поттер - 11ти-летний парнишка, чьи родители погибли в автокатастрофе. В день его одиннадцатилетия, Гарри получает письмо, уведомляющее его о том, что он будет учиться в школе Хогарт - школе для волшебников. Оказывается, его родители были волшебниками и погибли от рук злого мага Вольдемара. В школе Гарри обретает двух преданных друзей и узнает, что в школьном дворе спрятано что-то, за чем охотится Вольдемар.Среди картин, висящих в Хогвартсе, есть портрет Анна Болейн - второй жены короля Генриха VIII и матери королевы Елизаветы I: во время ее жизни многие верили в то, что Анна Болейн - ведьма."
47,https://www.kinonews.ru/movie_24/the-dark-knight,"Бэтман вершит правосудие в Готэме. Его партнерами становятся инспектор полиции Гордон и новый окружной прокурор Харви Дент. Это трио готово искоренить преступность в городе, однако появление нового безжалостного преступника по кличке Джокер может свести все их усилия на нет."
48,https://www.kinonews.ru/movie_2976/harry-potter-and-the-deathly-hallows-part-i,"Пришло время, когда Гарри Поттеру предстоит сразиться с самим Волан-де-Мортом. И совершенно непонятно, кто выйдет победителем в этом ужасном сражении, ведь друзья Гарри не могут ему помочь в эту трудную минуту. И неужели Злу улыбнется удача в этот раз?"
49,https://www.kinonews.ru/movie_95752/despicable-me-2,"Продолжение приключений суперзлодея Грю и его неуклюжих и смешных Миньонов. В этот раз, с помощью симпатичной напарницы, ему предстоит спасти мир от страшного злодея, захватившего очень секретное химическое вещество из исследовательской лаборатории, способное превращать любых живых существ в злобных и кровожадных монстров. "
50,https://www.kinonews.ru/movie_191303/the-jungle-book,"Экранизация произведения Редьярда Киплинга о мальчике, который был воспитан волчьей статей в джунглях Индии, под присмотром медведя и черной пантеры."
51,https://www.kinonews.ru/movie_222052/jumanji,Осовремененная версия популярного семейного триллера «Джуманджи» (1995) об обладающей сверхъестественными свойствами настольной игре.
52,https://www.kinonews.ru/movie_112654/hobbit-3,"Бильбо, Торин и компания добрались к логову Смауга, но основные сложности у них еще впереди. За гномами устремилась армия орков, а дракон Смауг покинул сокровищницу и устремился в Эсгарот, чтобы сжечь его дотла."
53,https://www.kinonews.ru/movie_83/pirates-of-the-caribbean-at-worlds-end,"Приключения Джека Воробья, Уилла Тернера и Элизабет Свонн продолжаются. Уиллу и Элизабет нужно спасти Джека, для чего они объединяются с самим капитаном Барбоссой и отправляются на край света, чтобы спасти Джека. Но Элизабет попадает к сингапурским пиратам, и это сильно осложняет дело..."
54,https://www.kinonews.ru/movie_802/the-hobbit-2,"Гномы, Бильбо и Гендальф благополучно миновали Мглистые горы, и Бильбо обрел Кольцо Всевластия. Они продолжают свое путешествие, чтобы вернуть все, что захватил дракон Смог."
55,https://www.kinonews.ru/movie_794/the-lord-of-the-rings-the-two-towers,"Братство кольца распалось. Фродо и Сэм продолжают свой путь в Мордор, следуя за Горлумом. Арагорн, Леголас и Гимли отправляются на поиски Мэри и Пипина, захваченных урукхаями. Им придется вступить в битву с полчищами Саурона, стремящимися уничтожить королевство людей Рохан."
56,https://www.kinonews.ru/movie_830/harry-potter-and-the-order-of-the-phoenix,"Очередной год в школе Хогарта начинается для Гарри неудачно. В школе меняется администрация, возвращается Волдеморт, а словам Гарри никто не верит и никто его не слушает. Гарри и его друзьям приходится собирать собственную армию, чтобы противостоять Вольдемару."
57,https://www.kinonews.ru/movie_3790/finding-nemo,"Немо отправился в свой первый учебный день в школе. После уроков они с друзьями решили выплыть из рифов  в открытый океан и столкнулись с самым страшным, с человеком! В поиски Немо, в сторону огромного Сиднея, отправляются его папа и несколько его новых друзей, случайно подхваченных по дороге к городу. "
58,https://www.kinonews.ru/movie_21/harry-potter-and-the-half-blood-prince,"Сила Волан-де-Морта возрастает с каждым днем. Дамблдор разгадывает его секрет бессмертия, но чтобы собрать все крестражи, в которых скрывается жизнь Волан-де-Морта, он берет на помощь Гарри Поттера. Страшная опасность подстерегает каждого, кто отправляется на их поиски..."
59,https://www.kinonews.ru/movie_294/shrek-2,"Совершенно счастливые Шрек и Фиона возвращаются из медового месяца и находят приглашение на ужин от родителей Фионы. Но их ждет сказочный сюрприз - Фиона стала троллем. Вместе с непредсказуемым Ослом, которого в английской версии фильма озвучивает Эдди Мерфи, семейная пара отправляется в путешествие, где их ждут поистине необыкновенные приключения и новые друзья...Въезд в Тридевятое королевство был ""срисован"" со въезда на киностудию ""Парамаунт"", снявшую этот мультфильм.В оригинале роли озвучивали голливудские звезды первой величины: Майк Майерс (Шрек), Кэмерон Диаз (Фиона), Эдди Мерфи (Осел), Антонио Бандерас (Кот в сапогах). В российском переводе Шрека озвучивает Алексей Коган, более известный как Хрюн Моржов."
60,https://www.kinonews.ru/movie_133837/untitled-freddie-mercury-biopic,"Биографическая кинолента о группе Queen, охватывающая события с момента создания легендарного коллектива и вплоть до его триумфального выступления на одном из крупнейшем благотворительном музыкальном фестивале в 1985 году."
61,https://www.kinonews.ru/movie_793/the-lord-of-the-rings-the-fellowship-of-the-ring,"Поиски великого кольца Саурона завершены. Оно попало в руки хоббитов из Шира, и только от их решимости и стойкости зависит судьба Средиземья. Фродо Бэгинс во главе Братства Кольца отправляется в Мордор, дабы уничтожить кольцо в горниле Роковой горы."
62,https://www.kinonews.ru/movie_122/harry-potter-and-the-goblet-of-fire,"Проходят каникулы и уже на четвертый курс возвращаются Гарри Поттер, Рон и Гермиона в школу чародейства и волшебства - ""Хогвартс"". Гарри, при совершенно странных и таинственных обстоятельствах, отбирается в число участников очень опасного соревнования - Турнира Трех Волшебников, но соперники его гораздо старше и сильнее как физически, так и магически. К тому же, возвращается Лорд Волдеморт, так как на это указывают магические знаки. Поэтому на соревнованиях Гарри предстоить бороться не только за победу, но и за жизнь..."
63,https://www.kinonews.ru/movie_2751/spider-man-3,"У Питера Паркера наконец-то наладилась жизнь. У него нет проблем в колледже и его любовь Мэри Джейн согласилась выйти за него замуж. Но Гарри Озборн все еще обвиняет Человека-Паука в смерти его отца и мечтает отомстить, вернувшись в образе Гоблина. Еще одним злодеем, появившимся в городе, оказывается Песочный Человек. Человек-паук возвращается, но его новый костюм открывает его темные стороны. Таким образом, ему приходится сражаться еще и с самим собой.Продолжительность: 139 мин."
64,https://www.kinonews.ru/movie_10581/ice-age-3-dawn-of-the-dinosaurs,"Продолжение о приключениях героев уже легендарного мультфильма.Несуразный ленивец Сид хочет завести свою собственную семью. Он находит яйца, из которых вылупляются детеныши тираннозавра. Идиллия счастливого семейства длилась недолго. Рассерженная мать быстро находит своих детей и вместе с Сидом уносит их в подземный мир, где живут динозавры. Его друзья без промедления отправляются спасать ленивца. "
65,https://www.kinonews.ru/movie_127857/bond-24,"Зашифрованное послание из неизвестного источника выводит Джеймса Бонда на след зловещей глобальной организации под кодовым названием  ""Спектр"", в то время как агент М пытается спасти секретную  разведывательную службу от ликвидации"
66,https://www.kinonews.ru/movie_153713/the-amazing-spider-man-3,"Стоящий на страже Нью-Йорка Человек-паук сталкивается с новыми вызовами судьбы. Его противником становится таинственный злодей, скрывающийся под маской Стервятника. Он с помощью своих подручных собирает инопланетные технологии, чтобы создать из них вооружения устрашающей мощности. Но сначала Питеру Паркеру необходимо разобраться в самом себе. Достоин ли он быть настоящим Мстителем?"
67,https://www.kinonews.ru/movie_2980/harry-potter-and-the-chamber-of-secrets,"Во время каникул Гарри получает предупреждние от эльфа, что в школе Хогарта произойдет что-то плохое. Когда Гарри возвращается в школу, он ужасается: из стен доносятся странные голоса, новеньких учеников атакуют, а на стене появляется сообщение, написанное кровью, о некой тайной комнате.Эльф Добби полностью нарисован на компьютере. Чтобы актерам проще было сниматься, ассистент режиссера держал палку с мячиком на конце, с помощью которой изображал Добби."
68,https://www.kinonews.ru/movie_66176/ice-age-continental-drift,"Минуло уже семь лет с тех пор, как полюбившиеся герои мультфильма  побывали в недрах Земли. Устоявшуюся и умиротворенную жизнь животных  нарушает внезапно начавшийся дрейф континентов. Мэнни, Диего, Сид и его  бабушка не успевают убежать в безопасное место и их уносит на льдине,  отколовшейся от материка, в открытый океан, где невольных  путешественников ждет встреча с не очень дружелюбными пиратами..."
69,https://www.kinonews.ru/movie_183746/untitled-pets-movie,"Счастливая жизнь пса по кличке Макс переворачивается вверх дном, после того, как его хозяин приводит в квартиру неряшливую дворнягу Дюка. Первое время Дюк и Макс соперничают за внимание любимого хозяина, однако вскоре им приходится позабыть о своих разногласиях и объединится, чтобы остановить брошенного людьми миловидного белого кролика Снежка, мечтающего отомстить обретшим долгожданный дом домашним животным и их владельцам..."
70,https://www.kinonews.ru/movie_157560/untitled-man-of-steel-sequel,"Бэтмен бросает вызов Супермену, считая, что практически всемогущий и никем неконтролируемый инопланетянин представляет серьезную угрозу человечеству, однако в конечном итоге им приходится объединиться и сообща выступить против самой большой в истории нашей цивилизации угрозы, в одиночку справиться с которой ни одному из них не по силам..."
71,https://www.kinonews.ru/movie_259585/zhan-lang-ii,"Один из самых лучших спецназовцев Китая уходит на заслуженный отдых и поселяется в тишине, около моря. Но когда банда садистов начинает терроризировать невинных людей,он должен снова взяться за оружие и защитить тех, кто в этом нуждается."
72,https://www.kinonews.ru/movie_116/star-wars-episode-iii-revenge-of-the-sith,"Прошло 3 года со времен, описанных во втором эпизоде. Война Клонов близится к завершению. Совет Джедаев, после долгих размышлений, дает Оби-Вану Кеноби опасное задание - доставить генерала Гривоса - главнокомандующего сепаратистской армии дроидов, в руки правосудия. Энакин, не совладав со своими чувствами, переходит на сторону темных сил и становится Дартом Вейдером. Близится финальная битва..."
73,https://www.kinonews.ru/movie_106964/the-hunger-games-catching-fire,"Китнисс и Пит прошли страшные испытания, которые  им уготовила судьба. Они победители. Болельщики и родные ликуют. Но многим из ""верхушки"" не нравится двойная победа и они сделают все, чтобы вернуть их в новый тур Голодных игр..."
