url,name,year,en_name,poster_url,rating,world_fees,budget,country,genre,director,main_actors,lentgh,description
https://www.kinonews.ru/movie_11239/keane,В руках бога,2004,Keane,https://www.kinonews.ru/movie_11239/keane,0.0,$312 150,$850 000,['США'],"['детектив', 'триллер']",Лодж Керриган,"['Эми Райан', 'Эбигейл Бреслин']",,"Ему около 30. У него есть дочь. Возможно, дочери нет. Возможно, эта дочь потерялась, погибла, пропала. Возможно все, потому что он боле шизофренией. Что реально, а что нет, он сам до конца не понимает этого."
https://www.kinonews.ru/movie_33864/the-panama-deception,Обман в Панаме,1992,The Panama Deception,,0.0,$309 596,0,['США'],"['военный', 'документальный', 'исторический']",Барбара Трент,"['Михаил Горбачев', 'Абрахам Альварез']",,"Фильм рассказывает об истинных причинах вторжения военных сил США на территорию Панамы в 1989 году. Целью не был захват Нарьеги, это не было попыткой создания там демократического государства. Просто Панама обладала ресурсами, которые в тот момент требовались властям Америки."
https://www.kinonews.ru/movie_11537/the-darwin-awards,Премия Дарвина,2006,The Darwin Awards,https://www.kinonews.ru/movie_11537/the-darwin-awards,8.0,$309 408,0,['США'],"['комедия', 'мелодрама', 'приключения']",Финн Тейлор,"['Вайнона Райдер', 'Джозеф Файнc']",," Судебный детектив и страховой следователь пытаются  разобраться с делом потенциального лауреата т.н. премии Дарвина, посмертно вручающейся  тем людям, которые, по мнению ее организаторов, улучшают человеческий вид, «исключая»  себя из его представителей.  "
https://www.kinonews.ru/movie_41295/rapa-nui,Рапа Нуи: Потерянный рай,1994,Rapa Nui,https://www.kinonews.ru/movie_41295/rapa-nui,8.0,$305 070,$20 000 000,['США'],"['боевик', 'драма', 'исторический', 'мелодрама', 'приключения']",Кевин Рейнольдс,"['Джейсон Скотт Ли', 'Эсай Моралес']",107 мин,"На острове Пасхи, который всегда считался райским островом, начинается серьезный конфликт, когда представители разных племен ""длинноухих"" и ""короткоухих"" вступают в ожесточенное противостояние за власть над островом и обладание любимой девушкой."
https://www.kinonews.ru/movie_7752/while-she-was-out,Пока ее не было,2008,While She Was Out,https://www.kinonews.ru/movie_7752/while-she-was-out,0.0,$302 616,$6 000 000,"['Германия', 'США', 'Канада']","['драма', 'криминал', 'триллер']",Сьюзэн Монтфорд,"['Ким Бэсинджер', 'Лукас Хаас']",,"Делла Майерс была домохозяйкой, жила в хорошем районе и вела тихую жизнь с детьми-близнецами и грубым мужем Кеннетом. Все свое время и внимание она давала близнецам, забывая и о доме, и о своем внешнем виде, и о раздражительном муже. Но одним предрождественским вечером ей суждено было столкнуться с местной бандой. В результате стычки на стоянке, Делла была вынуждена скрываться, она бежала в лес, преступники отправились по ее следам."
https://www.kinonews.ru/movie_21393/cri#243;nicas,Хроники,2004,Crónicas,,8.5,$300 322,0,"['Мексика', 'Эквадор']","['драма', 'криминал', 'триллер', 'ужасы']",Себастьян Сорберо,"['Альфред Молина', 'Джон Легуизамо']",,"Репортер известного ТВ-шоу Манола, идущего в прайм-тайм, «Час правды», уговаривает своего продюсера и любовника, остаться на Эквадоре. Именно оттуда они вели репортаж, посвященный серийному насильнику-убийце. Вскоре Манола встречает Бенисио, заключенного, который утверждает, что знает тайну загадочного убийцы. Манола мечтает раскрыть это дело."
https://www.kinonews.ru/movie_26355/deliver-us-from-evil,Избавь нас от лукавого,2006,Deliver Us from Evil,https://www.kinonews.ru/movie_26355/deliver-us-from-evil,5.5,$300 071,0,['США'],"['документальный', 'криминал']",Эми Берг,"['Адам', 'Поуп Бенедикт XVI']",101 мин,"В 70-е годы, когда все было так непостоянно в обществе, отец Оливер О`Греди быстро завоевал уважение и доверие прихожан. Он прослужил в церкви более 30 лет и за все это время никто из местных жителей так и не распознал в нем маниакального педофила.  Интервью со священником в фильме сопоставляется с историями его жертв."
https://www.kinonews.ru/movie_41423/black-dynamite,Черный динамит,2009,Black Dynamite,https://www.kinonews.ru/movie_41423/black-dynamite,10.0,$296 557,$2 900 000,['США'],"['боевик', 'комедия']",Скотт Сандерс,"['Майкл Джей Уайт', 'Лоурен Мери Ким']",," Крутой агент ЦРУ по прозвищу Черный Динамит решает лично позаботиться о том, чтобы убивший его единственного брата итальянский мафиози по прозвищу «Белый Человек» получил по заслугам. "
https://www.kinonews.ru/movie_5272/freeway,Шоссе,1996,Freeway,https://www.kinonews.ru/movie_5272/freeway,7.88,$295 493,$3 000 000,['США'],"['драма', 'комедия', 'криминал', 'триллер']",Мэттью Брайт,"['Риз Уизерспун', 'Кифер Сазерленд']",102 мин,"Детство Ванессы было кошмарным: мать - наркоманка, отчим - алкоголик, изнасиловавший ее в 11 лет. Единственная ее надежда - это бабушка, живущая в Лос-Анджелесе. После очередного ареста родителей Ванесса срывается и уходит из дома. Она ловит попутку и выезжает из города. Но на шоссе, ведущем к Лос-Анджелесу, орудует маньяк, насилующий несовершеннолетних девушек. Над Ванессой снова висит опасность."
https://www.kinonews.ru/movie_6271/imaginary-heroes,Вымышленные герои,2004,Imaginary Heroes,https://www.kinonews.ru/movie_6271/imaginary-heroes,6.0,$291 118,$10 000 000,"['Германия', 'США', 'Бельгия']",['драма'],Дэн Харрис,"['Сигурни Уивер', 'Мишель Уильямс']",,"Фамильный дом семьи Трэвис разрушен. И теперь нет закрытых дверей, все секреты, мучившие их годами, должны разъясниться при свете дня."
